Objects
100
,,Global Angle PrototypePayload623:PrototypePayload623,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
115,0,0.003545,-0.000783,-0.008480,314.972809,48.499779,208.558884
116,0,0.003555,-0.000828,-0.008486,314.975494,48.519444,208.546097
117,0,0.003561,-0.000732,-0.008504,314.971222,48.528683,208.543823
118,0,0.003561,-0.000793,-0.008457,314.986572,48.536049,208.553574
119,0,0.003521,-0.000728,-0.008444,314.971588,48.550484,208.567398
120,0,0.003541,-0.000781,-0.008471,314.984894,48.547901,208.557739
121,0,0.003584,-0.000759,-0.008442,314.987457,48.574635,208.559067
122,0,0.003594,-0.000742,-0.008442,314.986267,48.577427,208.563675
123,0,0.003612,-0.000772,-0.008419,314.985016,48.575539,208.572769
124,0,0.003594,-0.000746,-0.008420,314.985657,48.577614,208.573013
125,0,0.003579,-0.000745,-0.008395,314.987701,48.582882,208.580688
126,0,0.003587,-0.000769,-0.008372,314.984802,48.584278,208.594650
127,0,0.003685,-0.000733,-0.008312,314.964752,48.582439,208.598114
128,0,0.003691,-0.000759,-0.008324,314.973633,48.574684,208.586639
129,0,0.003611,-0.000759,-0.008290,314.960571,48.568253,208.602875
130,0,0.003692,-0.000783,-0.008280,314.948822,48.566769,208.621277
131,0,0.003634,-0.000838,-0.008278,314.948059,48.554977,208.612930
132,0,0.003611,-0.000821,-0.008291,314.950195,48.544971,208.609558
133,0,0.003694,-0.000787,-0.008229,314.930908,48.547245,208.614029
134,0,0.003650,-0.000835,-0.008248,314.929596,48.521122,208.605789
135,0,0.003626,-0.000815,-0.008275,314.931213,48.506905,208.607941
136,0,0.003640,-0.000871,-0.008332,314.929352,48.508263,208.608719
137,0,0.003682,-0.000816,-0.008322,314.917175,48.493759,208.583359
138,0,0.003684,-0.000809,-0.008358,314.920471,48.492191,208.588776
139,0,0.003697,-0.000800,-0.008395,314.915009,48.488251,208.593231
140,0,0.003679,-0.000805,-0.008368,314.906830,48.485935,208.579849
141,0,0.003730,-0.000838,-0.008408,314.907257,48.465851,208.566071
142,0,0.003669,-0.000856,-0.008432,314.918365,48.464962,208.562317
143,0,0.003735,-0.000792,-0.008490,314.912842,48.459450,208.567001
144,0,0.003681,-0.000799,-0.008528,314.917816,48.445179,208.554367
145,0,0.003659,-0.000786,-0.008533,314.918945,48.440926,208.546555
146,0,0.003693,-0.000806,-0.008543,314.931885,48.449886,208.548370
147,0,0.003694,-0.000803,-0.008550,314.936798,48.448139,208.550812
148,0,0.003711,-0.000787,-0.008541,314.943359,48.444828,208.530426
149,0,0.003678,-0.000808,-0.008529,314.953491,48.463699,208.541489
150,0,0.003677,-0.000775,-0.008525,314.954773,48.462345,208.548172
151,0,0.003715,-0.000794,-0.008534,314.966797,48.469246,208.547012
152,0,0.003709,-0.000771,-0.008498,314.971985,48.473209,208.544556
153,0,0.003696,-0.000784,-0.008451,314.976746,48.495152,208.563904
154,0,0.003729,-0.000802,-0.008472,314.981445,48.504860,208.576553
155,0,0.003784,-0.000777,-0.008477,314.979736,48.510761,208.576447
156,0,0.003706,-0.000796,-0.008464,314.977264,48.518387,208.567322
157,0,0.003716,-0.000750,-0.008428,314.978912,48.524654,208.585068
158,0,0.003673,-0.000758,-0.008409,314.981873,48.531559,208.594925
159,0,0.003666,-0.000771,-0.008382,314.982452,48.542313,208.590149
160,0,0.003644,-0.000800,-0.008327,314.978699,48.552269,208.594025
161,0,0.003651,-0.000764,-0.008302,314.975067,48.566242,208.622665
162,0,0.003573,-0.000831,-0.008338,314.978333,48.562840,208.614319
163,0,0.003588,-0.000810,-0.008293,314.968506,48.565277,208.611740
164,0,0.003565,-0.000794,-0.008250,314.960815,48.571907,208.607239
165,0,0.003564,-0.000818,-0.008250,314.959534,48.576553,208.614517
166,0,0.003585,-0.000840,-0.008239,314.947662,48.583889,208.618622
167,0,0.003544,-0.000804,-0.008263,314.949677,48.584881,208.605301
168,0,0.003552,-0.000843,-0.008238,314.932312,48.586384,208.609955
169,0,0.003557,-0.000839,-0.008245,314.938538,48.588867,208.610031
170,0,0.003506,-0.000884,-0.008252,314.950653,48.574291,208.594040
171,0,0.003535,-0.000874,-0.008310,314.934509,48.572998,208.588364
172,0,0.003547,-0.000864,-0.008305,314.939606,48.562283,208.581680
173,0,0.003539,-0.000860,-0.008334,314.933014,48.546272,208.580002
174,0,0.003570,-0.000838,-0.008380,314.934845,48.526966,208.584122
175,0,0.003532,-0.000869,-0.008424,314.931946,48.521984,208.570114
176,0,0.003601,-0.000815,-0.008434,314.926422,48.505585,208.563538
177,0,0.003605,-0.000837,-0.008439,314.936523,48.505753,208.561691
178,0,0.003636,-0.000811,-0.008457,314.949493,48.501663,208.561188
179,0,0.003643,-0.000791,-0.008428,314.944061,48.478951,208.550995
180,0,0.003635,-0.000785,-0.008453,314.949310,48.474770,208.533295
181,0,0.003720,-0.000791,-0.008485,314.965363,48.471191,208.554794
182,0,0.003722,-0.000765,-0.008499,314.973633,48.453178,208.546021
183,0,0.003743,-0.000748,-0.008470,314.971191,48.447292,208.548477
184,0,0.003784,-0.000762,-0.008491,314.980408,48.452095,208.550079
185,0,0.003770,-0.000737,-0.008534,314.977112,48.444065,208.554306
186,0,0.003765,-0.000734,-0.008530,314.970642,48.437241,208.563370
187,0,0.003739,-0.000769,-0.008529,314.976715,48.438217,208.550766
188,0,0.003787,-0.000719,-0.008473,314.971466,48.446484,208.560806
189,0,0.003747,-0.000758,-0.008445,314.977142,48.442261,208.567291
190,0,0.003760,-0.000794,-0.008436,314.980682,48.443474,208.579041
191,0,0.003744,-0.000797,-0.008413,314.979706,48.453449,208.581024
192,0,0.003725,-0.000789,-0.008426,314.963348,48.466251,208.581161
193,0,0.003763,-0.000738,-0.008364,314.957794,48.470089,208.599762
194,0,0.003680,-0.000788,-0.008349,314.955658,48.474751,208.601151
195,0,0.003695,-0.000825,-0.008372,314.946960,48.493732,208.593948
196,0,0.003665,-0.000847,-0.008340,314.939941,48.509315,208.592361
197,0,0.003663,-0.000850,-0.008337,314.944153,48.514896,208.600143
198,0,0.003601,-0.000835,-0.008395,314.937347,48.530342,208.608353
199,0,0.003566,-0.000890,-0.008293,314.930847,48.557507,208.606201
200,0,0.003542,-0.000849,-0.008275,314.921783,48.562622,208.606842
201,0,0.003529,-0.000898,-0.008284,314.939667,48.561447,208.597122
202,0,0.003511,-0.000896,-0.008340,314.930756,48.583145,208.587616
203,0,0.003561,-0.000878,-0.008263,314.908966,48.588093,208.604248
204,0,0.003514,-0.000872,-0.008308,314.919525,48.591778,208.588257
205,0,0.003452,-0.000862,-0.008290,314.939148,48.584221,208.584656
206,0,0.003466,-0.000863,-0.008308,314.934235,48.590927,208.584030
207,0,0.003507,-0.000839,-0.008306,314.929779,48.598473,208.585815
208,0,0.003491,-0.000826,-0.008292,314.937347,48.586098,208.577820
209,0,0.003489,-0.000857,-0.008346,314.946716,48.589081,208.579300
210,0,0.003481,-0.000822,-0.008360,314.958374,48.583099,208.567017
211,0,0.003537,-0.000776,-0.008357,314.962158,48.572868,208.579254
212,0,0.003588,-0.000768,-0.008386,314.966217,48.568699,208.566254
213,0,0.003569,-0.000703,-0.008404,314.970703,48.560291,208.577118
214,0,0.003577,-0.000712,-0.008402,314.987579,48.543804,208.569656
215,0,0.003653,-0.000692,-0.008405,314.992920,48.529232,208.568985
216,0,0.003662,-0.000704,-0.008449,314.982422,48.517891,208.567963
217,0,0.003706,-0.000742,-0.008483,314.992828,48.509613,208.565582
218,0,0.003708,-0.000724,-0.008510,315.001617,48.487152,208.570267
219,0,0.003744,-0.000754,-0.008433,314.980347,48.480637,208.578354
220,0,0.003751,-0.000762,-0.008492,314.978729,48.468224,208.581421
221,0,0.003770,-0.000776,-0.008465,314.966522,48.456612,208.578781
222,0,0.003740,-0.000777,-0.008442,314.976471,48.444145,208.579300
223,0,0.003722,-0.000797,-0.008472,314.980591,48.445263,208.572250
224,0,0.003759,-0.000779,-0.008441,314.958923,48.432262,208.578339
225,0,0.003770,-0.000798,-0.008430,314.960846,48.438591,208.588211
226,0,0.003752,-0.000841,-0.008420,314.960175,48.439896,208.586395
227,0,0.003779,-0.000808,-0.008381,314.943085,48.442535,208.586395
228,0,0.003781,-0.000802,-0.008394,314.927795,48.446976,208.592484
229,0,0.003772,-0.000802,-0.008411,314.917480,48.457951,208.593948
230,0,0.003752,-0.000840,-0.008393,314.915741,48.453732,208.590469
231,0,0.003752,-0.000845,-0.008368,314.913208,48.473251,208.589096
232,0,0.003683,-0.000884,-0.008402,314.902802,48.470516,208.582001
233,0,0.003638,-0.000912,-0.008333,314.895599,48.486923,208.590317
234,0,0.003629,-0.000892,-0.008347,314.891479,48.495003,208.583038
235,0,0.003636,-0.000920,-0.008337,314.897797,48.500095,208.566818
236,0,0.003650,-0.000843,-0.008341,314.898315,48.508175,208.567078
237,0,0.003614,-0.000851,-0.008299,314.898529,48.531368,208.582153
238,0,0.003597,-0.000848,-0.008289,314.903290,48.535225,208.573181
239,0,0.003556,-0.000842,-0.008310,314.913330,48.543846,208.570084
240,0,0.003516,-0.000840,-0.008271,314.937073,48.551167,208.578888
241,0,0.003561,-0.000819,-0.008304,314.944489,48.563126,208.567184
242,0,0.003559,-0.000808,-0.008310,314.948395,48.563656,208.564423
243,0,0.003554,-0.000759,-0.008349,314.959747,48.558922,208.569122
244,0,0.003534,-0.000711,-0.008373,314.966705,48.577072,208.583206
245,0,0.003567,-0.000717,-0.008391,314.976715,48.580097,208.568893
246,0,0.003529,-0.000712,-0.008366,314.988098,48.576988,208.579041
247,0,0.003549,-0.000670,-0.008427,314.998260,48.582069,208.579620
248,0,0.003590,-0.000677,-0.008418,315.001770,48.584484,208.582001
249,0,0.003589,-0.000669,-0.008446,315.005920,48.578377,208.589310
250,0,0.003586,-0.000714,-0.008416,315.021179,48.569271,208.586365
251,0,0.003604,-0.000670,-0.008442,315.013580,48.563854,208.590805
252,0,0.003655,-0.000704,-0.008487,315.011383,48.549427,208.585754
253,0,0.003627,-0.000728,-0.008446,315.012909,48.534260,208.586731
254,0,0.003608,-0.000771,-0.008458,315.003265,48.532852,208.588913
255,0,0.003611,-0.000794,-0.008508,314.995392,48.518433,208.587753
256,0,0.003695,-0.000773,-0.008484,314.979675,48.506935,208.593414
257,0,0.003709,-0.000820,-0.008484,314.983429,48.505775,208.589172
258,0,0.003667,-0.000856,-0.008453,314.974854,48.495167,208.578445
259,0,0.003712,-0.000885,-0.008487,314.948303,48.492634,208.586334
260,0,0.003656,-0.000887,-0.008511,314.954254,48.477703,208.587234
261,0,0.003679,-0.000884,-0.008483,314.938080,48.483932,208.588470
262,0,0.003708,-0.000856,-0.008422,314.924377,48.481972,208.588593
263,0,0.003671,-0.000874,-0.008435,314.911865,48.466518,208.586105
264,0,0.003684,-0.000911,-0.008424,314.901276,48.461517,208.589630
265,0,0.003702,-0.000915,-0.008357,314.903900,48.473255,208.590179
266,0,0.003695,-0.000883,-0.008373,314.897186,48.470821,208.583710
267,0,0.003728,-0.000875,-0.008360,314.896149,48.463558,208.574051
268,0,0.003653,-0.000890,-0.008337,314.896576,48.467285,208.575760
269,0,0.003684,-0.000878,-0.008316,314.896667,48.482578,208.582870
270,0,0.003696,-0.000836,-0.008311,314.893402,48.469700,208.579681
271,0,0.003656,-0.000828,-0.008327,314.909027,48.471138,208.573471
272,0,0.003647,-0.000814,-0.008307,314.909149,48.477329,208.572968
273,0,0.003649,-0.000825,-0.008308,314.913177,48.497356,208.570877
274,0,0.003642,-0.000790,-0.008312,314.929718,48.502522,208.581299
275,0,0.003663,-0.000775,-0.008291,314.946533,48.516354,208.575882
276,0,0.003595,-0.000720,-0.008278,314.953491,48.521091,208.587723
277,0,0.003664,-0.000718,-0.008330,314.959991,48.529453,208.597824
278,0,0.003601,-0.000674,-0.008369,314.985107,48.541298,208.589081
279,0,0.003595,-0.000642,-0.008360,314.986237,48.559883,208.599289
280,0,0.003632,-0.000662,-0.008399,314.988739,48.551285,208.591400
281,0,0.003618,-0.000678,-0.008412,315.001892,48.546471,208.593765
282,0,0.003647,-0.000693,-0.008405,315.007629,48.554104,208.594345
283,0,0.003594,-0.000690,-0.008469,315.000031,48.567745,208.593384
284,0,0.003556,-0.000671,-0.008473,315.003418,48.568832,208.598480
285,0,0.003592,-0.000723,-0.008490,315.013428,48.575233,208.605164
286,0,0.003594,-0.000778,-0.008480,315.020111,48.577679,208.601730
287,0,0.003597,-0.000754,-0.008506,315.008484,48.577202,208.593994
288,0,0.003601,-0.000749,-0.008481,315.001038,48.576229,208.591171
289,0,0.003566,-0.000821,-0.008501,315.014404,48.568096,208.598709
290,0,0.003561,-0.000846,-0.008494,314.997925,48.567413,208.597794
291,0,0.003558,-0.000845,-0.008486,314.985260,48.557087,208.590210
292,0,0.003561,-0.000834,-0.008463,314.978546,48.553894,208.583054
293,0,0.003566,-0.000916,-0.008436,314.962463,48.553070,208.593323
294,0,0.003556,-0.000912,-0.008431,314.961792,48.546535,208.582321
295,0,0.003599,-0.000883,-0.008392,314.951843,48.540192,208.573883
296,0,0.003572,-0.000909,-0.008388,314.942596,48.521713,208.576462
297,0,0.003602,-0.000912,-0.008381,314.933228,48.527863,208.574921
298,0,0.003681,-0.000851,-0.008435,314.924561,48.516571,208.575195
299,0,0.003718,-0.000854,-0.008526,314.921112,48.502254,208.575928
300,0,0.003825,-0.000861,-0.008540,314.903076,48.504089,208.586975
301,0,0.003813,-0.000854,-0.008568,314.903412,48.501259,208.576782
302,0,0.003813,-0.000820,-0.008480,314.899261,48.484146,208.572144
303,0,0.003735,-0.000797,-0.008369,314.896240,48.484592,208.579086
304,0,0.003725,-0.000806,-0.008317,314.891235,48.477806,208.573914
305,0,0.003806,-0.000746,-0.008326,314.906433,48.471504,208.571198
306,0,0.003864,-0.000790,-0.008368,314.921509,48.456173,208.585953
307,0,0.003895,-0.000751,-0.008421,314.921906,48.460068,208.582886
308,0,0.003923,-0.000722,-0.008525,314.924683,48.458111,208.581223
309,0,0.003912,-0.000709,-0.008528,314.922485,48.455940,208.575745
310,0,0.003912,-0.000680,-0.008501,314.925049,48.464237,208.591309
311,0,0.003852,-0.000685,-0.008475,314.927765,48.476131,208.584641
312,0,0.003858,-0.000659,-0.008474,314.931274,48.484695,208.573654
313,0,0.003846,-0.000692,-0.008535,314.936310,48.487682,208.586365
314,0,0.003863,-0.000727,-0.008642,314.959320,48.490124,208.594742
315,0,0.003909,-0.000728,-0.008671,314.958466,48.497890,208.587189
316,0,0.003913,-0.000747,-0.008702,314.968292,48.503460,208.582382
317,0,0.003850,-0.000753,-0.008685,314.974731,48.513931,208.587494
318,0,0.003784,-0.000732,-0.008672,314.971497,48.520287,208.588745
319,0,0.003690,-0.000762,-0.008678,314.970032,48.531116,208.584579
320,0,0.003682,-0.000778,-0.008679,314.961151,48.535366,208.586456
321,0,0.003680,-0.000802,-0.008697,314.965179,48.547840,208.595917
322,0,0.003702,-0.000863,-0.008729,314.972137,48.553123,208.603424
323,0,0.003681,-0.000831,-0.008713,314.975311,48.554478,208.593491
324,0,0.003624,-0.000849,-0.008709,314.967560,48.561478,208.579834
325,0,0.003590,-0.000868,-0.008645,314.966888,48.568851,208.580490
326,0,0.003638,-0.000857,-0.008605,314.963654,48.573673,208.584213
327,0,0.003594,-0.000854,-0.008613,314.955933,48.579231,208.578384
328,0,0.003573,-0.000826,-0.008577,314.951904,48.577263,208.575058
329,0,0.003529,-0.000852,-0.008564,314.951294,48.584064,208.596558
330,0,0.003549,-0.000876,-0.008560,314.944427,48.569893,208.588028
331,0,0.003609,-0.000871,-0.008503,314.943207,48.564590,208.579788
332,0,0.003604,-0.000847,-0.008465,314.941254,48.566422,208.582520
333,0,0.003636,-0.000824,-0.008390,314.943665,48.557144,208.591675
334,0,0.003677,-0.000843,-0.008347,314.939850,48.531864,208.588242
335,0,0.003723,-0.000825,-0.008345,314.949158,48.534286,208.576370
336,0,0.003667,-0.000802,-0.008328,314.946747,48.531128,208.589630
337,0,0.003740,-0.000761,-0.008340,314.933502,48.525612,208.583618
338,0,0.003785,-0.000777,-0.008379,314.939575,48.510357,208.591034
339,0,0.003820,-0.000778,-0.008428,314.943054,48.511211,208.592285
340,0,0.003845,-0.000786,-0.008409,314.932617,48.499352,208.594528
341,0,0.003848,-0.000746,-0.008393,314.920593,48.489128,208.594238
342,0,0.003879,-0.000754,-0.008482,314.941284,48.478870,208.592026
343,0,0.003896,-0.000784,-0.008472,314.938354,48.473419,208.595398
344,0,0.003939,-0.000765,-0.008473,314.942139,48.466335,208.584488
345,0,0.003954,-0.000772,-0.008487,314.949768,48.459270,208.584610
346,0,0.004002,-0.000744,-0.008545,314.939056,48.463161,208.589310
347,0,0.004013,-0.000761,-0.008598,314.931885,48.458511,208.576828
348,0,0.003990,-0.000735,-0.008607,314.938477,48.452782,208.574326
349,0,0.003925,-0.000760,-0.008656,314.934021,48.464661,208.586594
350,0,0.003908,-0.000759,-0.008697,314.930847,48.467686,208.585861
351,0,0.003884,-0.000780,-0.008721,314.931152,48.458748,208.573822
352,0,0.003862,-0.000770,-0.008678,314.944214,48.472248,208.580383
353,0,0.003831,-0.000785,-0.008712,314.945312,48.479252,208.593933
354,0,0.003790,-0.000818,-0.008712,314.930908,48.477409,208.578766
355,0,0.003798,-0.000801,-0.008701,314.931915,48.483219,208.581482
356,0,0.003717,-0.000813,-0.008684,314.941742,48.494392,208.580902
357,0,0.003703,-0.000805,-0.008694,314.941711,48.499271,208.576309
358,0,0.003693,-0.000823,-0.008696,314.930725,48.509628,208.583145
359,0,0.003640,-0.000855,-0.008684,314.934021,48.520023,208.586258
360,0,0.003638,-0.000865,-0.008655,314.945465,48.530495,208.598633
361,0,0.003676,-0.000774,-0.008572,314.942505,48.541519,208.588409
362,0,0.003634,-0.000768,-0.008556,314.946472,48.542255,208.575531
363,0,0.003591,-0.000800,-0.008464,314.946869,48.540569,208.581451
364,0,0.003635,-0.000786,-0.008489,314.954468,48.551025,208.596924
365,0,0.003508,-0.000788,-0.008252,314.971497,48.552567,208.578461
366,0,0.003330,-0.000780,-0.007967,314.965912,48.556156,208.555893
367,0,0.002704,-0.000513,-0.007799,314.897400,48.420212,208.601257
368,0,0.003150,-0.000761,-0.007629,314.944519,48.575413,208.593018
369,0,0.003240,-0.000848,-0.007688,314.950470,48.583519,208.611771
370,0,0.003488,-0.000980,-0.008010,314.955963,48.577690,208.632950
371,0,0.003763,-0.001069,-0.008318,314.972565,48.588058,208.671646
372,0,0.003837,-0.000974,-0.008394,315.019806,48.565491,208.694183
373,0,0.003813,-0.000792,-0.008413,315.078217,48.531471,208.719757
374,0,0.003438,-0.001322,-0.007925,315.268982,48.492188,208.808090
375,0,0.003325,-0.001253,-0.007705,315.342926,48.441616,208.884720
376,0,0.003480,-0.000699,-0.007898,315.318909,48.375179,208.936081
377,0,0.003300,-0.001476,-0.007657,315.532867,48.304119,209.108414
378,0,0.003451,-0.001539,-0.007773,315.628906,48.239281,209.256927
379,0,0.003648,-0.001593,-0.008005,315.733887,48.165142,209.363434
380,0,0.003795,-0.001467,-0.008110,315.849823,48.084057,209.538010
381,0,0.003696,-0.001339,-0.008300,315.999695,47.992523,209.683517
