Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
550,0,-0.001779,-0.007049,-0.012643,524.324463,84.065125,502.356476
551,0,-0.001688,-0.007112,-0.012477,523.814758,86.476295,503.528839
552,0,-0.001492,-0.007075,-0.012293,523.222595,88.886147,504.672699
553,0,-0.001308,-0.007228,-0.011993,522.650452,91.291924,505.787323
554,0,-0.001163,-0.007253,-0.011941,522.036743,93.705177,506.954956
555,0,-0.000747,-0.007374,-0.012039,521.430969,96.182419,508.172943
556,0,-0.000513,-0.007465,-0.012243,520.783386,98.622353,509.370392
557,0,-0.000324,-0.007548,-0.012386,520.128113,101.051117,510.489044
558,0,-0.000079,-0.007548,-0.012354,519.459473,103.505325,511.547272
559,0,-0.000075,-0.007620,-0.012340,518.765808,105.951401,512.582031
560,0,-0.000079,-0.007644,-0.012020,518.037231,108.405922,513.578003
561,0,-0.000334,-0.007733,-0.011650,517.296997,110.803749,514.556213
562,0,-0.000518,-0.008051,-0.011273,516.567200,113.194458,515.590454
563,0,0.000221,-0.007572,-0.011626,515.669617,115.770500,516.639465
564,0,0.000139,-0.007764,-0.011528,514.852478,118.177994,517.677917
565,0,0.000175,-0.008322,-0.012285,513.983704,120.635872,518.628967
566,0,0.000523,-0.008057,-0.012444,513.103149,123.052299,519.580566
567,0,0.000707,-0.008169,-0.012451,512.235535,125.420570,520.498108
568,0,0.000793,-0.008347,-0.012420,511.330780,127.825188,521.370605
569,0,0.000669,-0.008462,-0.012239,510.431000,130.213013,522.181641
570,0,0.000686,-0.008600,-0.011989,509.493103,132.578751,523.059814
571,0,0.000682,-0.008612,-0.012086,508.562195,134.908737,523.954651
572,0,0.000918,-0.008403,-0.012208,507.651978,137.273636,524.870300
573,0,0.000924,-0.008619,-0.011471,506.553528,139.791687,525.760193
574,0,0.001146,-0.008692,-0.011725,505.473602,142.271667,526.640869
575,0,0.001611,-0.008502,-0.012081,504.446136,144.705811,527.498230
576,0,0.001913,-0.008617,-0.012213,503.372131,147.147186,528.318359
577,0,0.002177,-0.008704,-0.012141,502.295502,149.582703,529.103882
578,0,0.002122,-0.008962,-0.012019,501.187805,151.993713,529.866394
579,0,0.002093,-0.009276,-0.011738,500.112579,154.415878,530.645752
580,0,0.001981,-0.009216,-0.011531,499.026276,156.777847,531.457214
581,0,0.001760,-0.009519,-0.011650,497.987946,159.094055,532.252808
582,0,0.002647,-0.009084,-0.011722,496.785004,161.590759,533.113770
583,0,0.002674,-0.009206,-0.011944,495.691711,163.874176,533.912537
584,0,0.003109,-0.009315,-0.012222,494.552063,166.237717,534.695984
585,0,0.003543,-0.009384,-0.012216,493.341980,168.596390,535.501709
586,0,0.004053,-0.009221,-0.012082,492.157349,170.925888,536.225769
587,0,0.004260,-0.009293,-0.011872,490.921448,173.271851,536.970886
588,0,0.004089,-0.009688,-0.011480,489.598206,175.659302,537.749023
589,0,0.004136,-0.009693,-0.011390,488.371124,177.969360,538.484863
590,0,0.004126,-0.009568,-0.011409,487.109863,180.322968,539.249573
591,0,0.004064,-0.009578,-0.011765,485.852448,182.686707,540.064331
592,0,0.004187,-0.009696,-0.011935,484.631256,185.058319,540.806152
593,0,0.004433,-0.009793,-0.012145,483.350006,187.391602,541.566956
594,0,0.004660,-0.010185,-0.012113,482.124969,189.766846,542.314392
595,0,0.005108,-0.010286,-0.012011,480.843506,192.141693,543.079041
596,0,0.005219,-0.010450,-0.011891,479.590881,194.474792,543.783020
597,0,0.005301,-0.010530,-0.011692,478.311218,196.743149,544.531067
598,0,0.005272,-0.010372,-0.011754,477.002991,199.063995,545.271179
599,0,0.005329,-0.010383,-0.011773,475.689148,201.341522,545.994202
600,0,0.005211,-0.010278,-0.011992,474.341187,203.584473,546.741638
601,0,0.005186,-0.010341,-0.012198,472.966278,205.849304,547.498718
602,0,0.005317,-0.010307,-0.012462,471.569946,208.104950,548.239380
603,0,0.005541,-0.010490,-0.012595,470.146088,210.363327,549.001709
604,0,0.005830,-0.010726,-0.012723,468.709076,212.640732,549.763611
605,0,0.006158,-0.010998,-0.012497,467.325195,214.926971,550.507874
606,0,0.006456,-0.010966,-0.012328,465.913971,217.176270,551.261536
607,0,0.006772,-0.010848,-0.012057,464.536621,219.449905,552.002625
608,0,0.006937,-0.010599,-0.011758,463.123505,221.686661,552.750061
609,0,0.007076,-0.010048,-0.011460,461.770020,223.890778,553.534546
610,0,0.007049,-0.010083,-0.011779,460.306824,226.138382,554.260254
611,0,0.007108,-0.010164,-0.011824,458.870667,228.348541,554.996704
612,0,0.007044,-0.010167,-0.011920,457.378571,230.534241,555.794678
613,0,0.007187,-0.010613,-0.012012,455.899994,232.720886,556.599915
614,0,0.007239,-0.010853,-0.011869,454.462036,234.852936,557.416931
615,0,0.007783,-0.010635,-0.012159,452.892792,237.048920,558.242126
616,0,0.008084,-0.010362,-0.012308,451.375977,239.224838,559.017334
617,0,0.008454,-0.010251,-0.011831,449.886261,241.364670,559.762756
618,0,0.008671,-0.009906,-0.011540,448.340759,243.505783,560.555542
619,0,0.008895,-0.009963,-0.011247,446.792267,245.636612,561.386414
620,0,0.009220,-0.010087,-0.011185,445.213684,247.767181,562.201050
621,0,0.009523,-0.010314,-0.011496,443.586029,249.921021,563.075317
622,0,0.009772,-0.010608,-0.011699,441.980652,252.050217,563.981201
623,0,0.009955,-0.010551,-0.012056,440.388641,254.169144,564.874329
624,0,0.010091,-0.010694,-0.012125,438.805267,256.292297,565.700562
625,0,0.010158,-0.010636,-0.012054,437.211639,258.372437,566.522644
626,0,0.010053,-0.010594,-0.011827,435.680298,260.441650,567.361206
627,0,0.010128,-0.010547,-0.011618,434.149872,262.508209,568.193420
628,0,0.010307,-0.010547,-0.011524,432.582123,264.559357,569.062134
629,0,0.010487,-0.010619,-0.011437,430.985138,266.640381,569.961182
630,0,0.010747,-0.010790,-0.011587,429.361115,268.710144,570.915100
631,0,0.011089,-0.011089,-0.011572,427.718109,270.765350,571.878052
632,0,0.011247,-0.011355,-0.011568,426.017639,272.812775,572.831177
633,0,0.011368,-0.011206,-0.011616,424.305389,274.883270,573.799072
634,0,0.011477,-0.011062,-0.011496,422.665283,276.852295,574.753967
635,0,0.011577,-0.010919,-0.011478,420.981079,278.868958,575.690002
636,0,0.011507,-0.010823,-0.011509,419.319275,280.831482,576.637512
637,0,0.011449,-0.011245,-0.011615,417.594055,282.848267,577.586487
638,0,0.011445,-0.011304,-0.011521,415.944000,284.723663,578.629578
639,0,0.011589,-0.011475,-0.011497,414.285736,286.647827,579.678406
640,0,0.011484,-0.012439,-0.010883,412.786438,288.537109,580.759521
641,0,0.011931,-0.011524,-0.011466,410.893097,290.453888,581.727112
642,0,0.012133,-0.011428,-0.011730,409.165253,292.372833,582.783264
643,0,0.012528,-0.011279,-0.011781,407.402130,294.300720,583.902222
644,0,0.012740,-0.011114,-0.011846,405.632477,296.186157,585.043701
645,0,0.012801,-0.011085,-0.011716,403.837799,298.058197,586.165344
646,0,0.012865,-0.011189,-0.011506,402.100616,299.888763,587.305420
647,0,0.012856,-0.011366,-0.011480,400.400299,301.686493,588.450928
648,0,0.012891,-0.011220,-0.011431,398.724060,303.422760,589.601562
649,0,0.012588,-0.012219,-0.011029,397.232208,305.143646,590.846741
650,0,0.013011,-0.011406,-0.011729,395.380463,306.917358,592.026367
651,0,0.013155,-0.012074,-0.011572,393.798462,308.623718,593.351074
652,0,0.013604,-0.011425,-0.012623,391.784882,310.402252,594.576904
653,0,0.013808,-0.011335,-0.012222,390.007080,312.111267,595.879700
654,0,0.014001,-0.011352,-0.011914,388.158356,313.801208,597.215881
655,0,0.014235,-0.011339,-0.011732,386.277344,315.441742,598.564331
656,0,0.014305,-0.011323,-0.011557,384.423523,317.063049,599.948303
657,0,0.014409,-0.011694,-0.011832,382.511597,318.704224,601.423218
658,0,0.014869,-0.011687,-0.011754,380.752197,320.211761,602.794067
659,0,0.015264,-0.011541,-0.012150,378.994781,321.676575,604.233887
660,0,0.015564,-0.011264,-0.012436,377.185516,323.120422,605.682678
661,0,0.015773,-0.011280,-0.012589,375.421509,324.597412,607.172791
662,0,0.015663,-0.011173,-0.012585,373.606079,326.013702,608.721130
663,0,0.015623,-0.011216,-0.012202,371.800598,327.439148,610.277771
664,0,0.015176,-0.012367,-0.010973,370.040161,328.895660,611.907166
665,0,0.014893,-0.012043,-0.012219,367.959961,330.352386,613.461304
666,0,0.014969,-0.012194,-0.012001,366.165497,331.695770,615.136230
667,0,0.014912,-0.012067,-0.012039,364.385559,333.000214,616.847778
668,0,0.015062,-0.011808,-0.012290,362.637207,334.316376,618.591187
669,0,0.014998,-0.011536,-0.012572,360.923187,335.501221,620.279114
670,0,0.015114,-0.011359,-0.012653,359.237000,336.678040,622.000671
671,0,0.015053,-0.011571,-0.012638,357.591827,337.722321,623.745483
672,0,0.014961,-0.011856,-0.012319,355.925507,338.767517,625.523315
673,0,0.015154,-0.012446,-0.012397,354.254272,339.897827,627.383118
674,0,0.015318,-0.011781,-0.012657,352.327698,340.875031,629.250854
675,0,0.014922,-0.011924,-0.012546,350.565094,341.779327,631.264587
676,0,0.014719,-0.012346,-0.012147,348.946930,342.666260,633.367859
677,0,0.014865,-0.011366,-0.013031,347.048615,343.516663,635.363953
678,0,0.014835,-0.011266,-0.013258,345.349731,344.309875,637.430786
679,0,0.014602,-0.012501,-0.012289,343.810913,345.102814,639.547668
680,0,0.015141,-0.011789,-0.012820,342.046600,345.718384,641.487732
681,0,0.015307,-0.011834,-0.012822,340.445435,346.323181,643.525513
682,0,0.015448,-0.012063,-0.012535,338.923767,346.860962,645.623352
683,0,0.015633,-0.012002,-0.012446,337.262604,347.433441,647.756409
684,0,0.015704,-0.011902,-0.012430,335.627899,347.926880,649.951233
685,0,0.015710,-0.011582,-0.012616,333.985504,348.422668,652.204224
686,0,0.015614,-0.011209,-0.012729,332.299194,348.823395,654.488708
687,0,0.015576,-0.011250,-0.012908,330.628967,349.199921,656.750305
688,0,0.015750,-0.011539,-0.012915,328.977234,349.527618,658.985107
689,0,0.015765,-0.011921,-0.012897,327.333191,349.771271,661.239258
690,0,0.015953,-0.012271,-0.012786,325.750366,350.007690,663.481384
691,0,0.016260,-0.012311,-0.012522,324.250702,350.175110,665.739014
692,0,0.016454,-0.012153,-0.012433,322.781281,350.303223,668.041260
693,0,0.016728,-0.011777,-0.012569,321.284912,350.396484,670.416626
694,0,0.017057,-0.011502,-0.012705,319.800232,350.468750,672.830017
695,0,0.017320,-0.011583,-0.012718,318.242523,350.531799,675.263367
696,0,0.017594,-0.011538,-0.012867,316.653870,350.564453,677.658569
697,0,0.017616,-0.011650,-0.012703,315.061890,350.545654,680.058167
698,0,0.017643,-0.011728,-0.012553,313.513733,350.490021,682.374329
699,0,0.017515,-0.011719,-0.012370,312.008240,350.392822,684.722473
700,0,0.017105,-0.012251,-0.011704,310.746704,350.218201,687.126526
701,0,0.017261,-0.011166,-0.012364,309.231537,350.006470,689.436523
702,0,0.017215,-0.010993,-0.012449,307.933990,349.750488,691.862549
703,0,0.017354,-0.010920,-0.012631,306.592743,349.483826,694.298157
704,0,0.017634,-0.011095,-0.012575,305.250305,349.188538,696.716553
705,0,0.017886,-0.011349,-0.012541,303.870270,348.933533,699.145203
706,0,0.018200,-0.011382,-0.012342,302.469543,348.640076,701.557495
707,0,0.018456,-0.011288,-0.012279,301.053619,348.360321,703.961670
708,0,0.018540,-0.011060,-0.012302,299.634430,348.013000,706.353271
709,0,0.018476,-0.010938,-0.012158,298.287689,347.620728,708.790161
710,0,0.018474,-0.010919,-0.012125,297.002777,347.192871,711.204468
711,0,0.018195,-0.011014,-0.012189,295.762817,346.669067,713.637085
712,0,0.018050,-0.011296,-0.012318,294.543091,346.161072,716.027832
713,0,0.017838,-0.011368,-0.012521,293.358459,345.607666,718.417786
714,0,0.017681,-0.011451,-0.012651,292.144043,345.058319,720.859619
715,0,0.017693,-0.011506,-0.012610,290.835693,344.498322,723.262817
716,0,0.017923,-0.011292,-0.012688,289.540619,343.949219,725.641174
717,0,0.018075,-0.011261,-0.012784,288.227814,343.393250,728.102600
718,0,0.018314,-0.011319,-0.012776,286.947937,342.825989,730.575012
719,0,0.018556,-0.011227,-0.012865,285.712128,342.195160,732.992310
720,0,0.018728,-0.011325,-0.012858,284.500092,341.519714,735.447815
721,0,0.018718,-0.011246,-0.012923,283.332733,340.758057,737.863525
722,0,0.018616,-0.011272,-0.013050,282.193695,339.976959,740.263794
723,0,0.018425,-0.011290,-0.012875,281.066956,339.205566,742.650208
724,0,0.018080,-0.011785,-0.012131,280.077454,338.406128,745.076233
725,0,0.018127,-0.010944,-0.012883,278.731232,337.541656,747.395996
726,0,0.018078,-0.010903,-0.012930,277.550995,336.730438,749.802185
727,0,0.017980,-0.010774,-0.012967,276.356934,335.873260,752.231201
728,0,0.018132,-0.010670,-0.012955,275.136505,335.032135,754.678650
729,0,0.018438,-0.010609,-0.012942,273.909943,334.221344,757.203796
730,0,0.018349,-0.011342,-0.012107,272.883881,333.357727,759.808105
731,0,0.018471,-0.011338,-0.012000,271.722504,332.432587,762.307800
732,0,0.018469,-0.011242,-0.011807,270.570282,331.509277,764.692017
733,0,0.018359,-0.010349,-0.012486,269.279785,330.442108,766.966492
734,0,0.018413,-0.010316,-0.012593,268.205383,329.425018,769.240295
735,0,0.018599,-0.010429,-0.012596,267.137360,328.389618,771.466248
736,0,0.018498,-0.011293,-0.012312,266.238434,327.286713,773.754272
737,0,0.018956,-0.010492,-0.013085,264.994965,326.286652,776.067993
738,0,0.018912,-0.010398,-0.013183,263.886475,325.208435,778.494995
739,0,0.018845,-0.011131,-0.012487,262.926392,324.236267,780.956787
740,0,0.019051,-0.011141,-0.012353,261.812134,323.213837,783.366882
741,0,0.018914,-0.010405,-0.012814,260.563751,322.146942,785.704468
742,0,0.018593,-0.010963,-0.012166,259.637207,321.130554,788.083130
743,0,0.018670,-0.010073,-0.012719,258.422180,319.991333,790.314514
744,0,0.018673,-0.010066,-0.012804,257.425934,318.926514,792.620728
745,0,0.018399,-0.010625,-0.012580,256.621460,317.756744,794.950867
746,0,0.018529,-0.010553,-0.012744,255.648224,316.660522,797.270630
747,0,0.018522,-0.010558,-0.012955,254.641418,315.512482,799.592651
748,0,0.018505,-0.009634,-0.013378,253.439789,314.369904,801.864441
749,0,0.018482,-0.009438,-0.013401,252.340622,313.237122,804.150208
750,0,0.018344,-0.009416,-0.013294,251.255249,312.070862,806.406555
